"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names","label","_id","cancel_delays"
"si","none","🤖Aca tenes el link de MercadoLibre con TODO lo disponible\n*Sale lo mismo* y podes pagar con QR, Tarjeta o efectivo 💯\n \nhttps://www.mercadolibre.com.ar/tienda/arbetter-by-uniproveedores","single","","","b","","","","","0","","","","","","","","seconds","2","0","1","",,,,,,,,,,,"36","0"
"no","none","🤖 Te cuento q los descuentos son desde 10 unidades, récorda q tenes Eco pack de varios artículos desde MercadoLibre y por local sale lo mismo... T paso link para q veas y pagues como quieras\n\nhttps://listado.mercadolibre.com.ar/_CustId_46539072\n\nQuerés igual hablar con un humano?","single","","","b","","","","","0","","","","","","","","seconds","0","0","1","",,,,,,,,,,,"37","0"
"*","none","🤖 Te pido q solo escribas *Si* o *No* que sino no te puedo ayudar","single","","","b","","","","","0","","","","","","","","seconds","0","0","1","",,,,,,,,,,,"38","0"
"*","none","🤖 Necesitas más ayuda?\nSi - Si un humano\n*No* - Fuiste de gran ayuda y muy amable","single","","","b","","","","","0","","","","","","","","seconds","0","0","1","",,,,,,,,,,,"39","0"
"si","none","🤖 Qué pena q no me explico bien, le aviso a mi supervisor y cuando quede libre t responde","single","","","b","","","","","0","","","","","","","","seconds","0","0","4","",,,,,,,,,,,"40","0"
"no","none","Qué bueno! Buena semana! 🤗","single","","","b","","","","","0","","","","","","","","seconds","0","0","4","",,,,,,,,,,,"41","0"
"si","none","🤖Aca tenes el link de MercadoLibre con TODO lo disponible\n*Sale lo mismo* y podes pagar con QR, Tarjeta o efectivo 💯\n \nhttps://www.mercadolibre.com.ar/tienda/arbetter-by-uniproveedores","single","","","b","","","","","0","","","","","","","","seconds","2","0","7","",,,,,,,,,,,"50","0"
"no","none","🤖 Te cuento q los descuentos son desde 10 unidades, récorda q tenes Eco pack de varios artículos desde MercadoLibre y por local sale lo mismo... T paso link para q veas y pagues como quieras\n\nhttps://listado.mercadolibre.com.ar/_CustId_46539072\n\nQuerés igual hablar con un humano?","single","","","b","","","","","0","","","","","","","","seconds","0","0","7","",,,,,,,,,,,"51","0"
"*","none","🤖 Te pido q solo escribas *Si* o *No* que sino no te puedo ayudar","single","","","b","","","","","0","","","","","","","","seconds","0","0","7","",,,,,,,,,,,"52","0"
"*","none","🤖 Necesitas más ayuda?\nSi - Si un humano\n*No* - Fuiste de gran ayuda y muy amable","single","","","b","","","","","0","","","","","","","","seconds","0","0","7","",,,,,,,,,,,"53","0"
"si","none","🤖 Qué pena q no me explico bien, le aviso a mi supervisor y cuando quede libre t responde","single","","","b","","","","","0","","","","","","","","seconds","0","0","10","",,,,,,,,,,,"54","0"
"no","none","Qué bueno! Buena semana! 🤗","single","","","b","","","","","0","","","","","","","","seconds","0","0","10","",,,,,,,,,,,"55","0"
"a","similar","🧭 *Ubicación y Horarios:*\n📍 Estamos en Buenos Aires, Floresta (Dirección: *Bacacay 4726*)\n\n⌚ *Horarios de Atención:*\n•Lunes a viernes de 14:00 a 17.30hs\n•Sábados de 10 a 12.30hs\n•Domingos y Feriado: Cerrado<#>🏪 Atendemos retiros, cambios o devoluciones ya concretadas y consultas. Si necesitas información sobre alguno de estos 3 temas responde únicamente con el número correspondiente:\n\n*1*. 📦 Retiro de producto\n*2*. 🔄 Cambio o devolución\n*3*. 📃 Consulta por una compra\n\n👋 Que tengas un buen día!","all","1","1","b","","","3","3","0","","","","","","","","seconds","2","0","","",,,,,,,,,,,"58","0"
"b","similar","📦 *Ventas Mayoristas Uniproovedores*\n\n🤝 En Uniproovedores tenemos los mejores precios mayoristas, y descuentos por volumen imperdibles!\n\n📌 Para continuar necesitamos saber si ya nos hiciste compras mayoristas previamente:\n*1*. ☑️ Si, ya soy cliente mayorista\n*2*. 🆕 No, quiero comprar al por mayor\n\n🫂 Respondé a este mensaje con el número correspondiente para que te podamos atender de la mejor manera.","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","","",,,,,,,,,,,"59","0"
"*1*","normal","☑️ Perfecto, para darte atención prioritaria, necesitamos identificarte, para eso, copiá y completá el mensaje siguiente con los datos correspondientes.\n🤝 No te llevará más de 30 segundos:<#>Cliente: _(Nombre con el que hayas comprado previamente)_\nCUIT: _(CUIT con el que hayas comprado previamente)_<#>📌 Con estos pequeños datos podremos continuar correctamente!","all","1","1","b","","","3","3","0","","","","","","","","seconds","2","0","14","",,,,,,,,,,,"60","0"
"*2*","normal","🆕 Bienvenido! para poder acceder a beneficios mayoristas necesitamos algunos datos básicos.\n\n📌 Para eso, copiá y pegá el siguiente mensaje completando con tus datos correspondientes, no te llevará mas de 30 segundos:<#>Nombre: _(Tu nombre y apellido)_\nMarca: _(Nombre de tu negocio/empresa/negocio)_\nCiudad/Provincia: _(Donde estás ubicado/a)_<#>☑️ Esto nos permite atenderte correctamente y ofrecerte los mejores descuentos!","all","1","1","b","","","3","3","0","","","","","","","","seconds","2","0","14","",,,,,,,,,,,"61","0"
"c","similar","🤬 *Reclamos por Compra:*\n\n🙏 Lamentamos el inconveniente, vamos a ayudarte de la forma más rápida posible.\n\n📌 Necesito que elijas el tipo de reclamo respondiendo únicamente con el número correspondiente:\n\n*1*. 📦 El producto no llegó\n*2*. 💢 El producto llegó dañado\n*3*. ❌ El producto no funciona, o funciona mal\n*4*. 🔄 Me llegó un producto/modelo distinto al que compré \n*5*.❗Me faltaron productos o accesorios en el envío\n*6*. 🔙 Me equivoqué al elegir el producto, o me arrepentí de comprarlo\n*7*. 📃 No me llegó la factura correspondiente","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","","",,,,,,,,,,,"62","0"
"d","similar","🤔Querés saber el costo d un artículo por local?\n*Si* - Si quiero saberlo\nNo - Prefiero hablar c un humano por descuento","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"63","0"
"si","none","🤖Aca tenes el link de MercadoLibre con TODO lo disponible\n*Sale lo mismo* y podes pagar con QR, Tarjeta o efectivo 💯\n \nhttps://www.mercadolibre.com.ar/tienda/arbetter-by-uniproveedores","single","","","b","","","","","0","","","","","","","","seconds","2","0","18","",,,,,,,,,,,"64","0"
"no","none","🤖 Te cuento q los descuentos son desde 10 unidades, récorda q tenes Eco pack de varios artículos desde MercadoLibre y por local sale lo mismo... T paso link para q veas y pagues como quieras\n\nhttps://listado.mercadolibre.com.ar/_CustId_46539072\n\nQuerés igual hablar con un humano?","single","","","b","","","","","0","","","","","","","","seconds","0","0","18","",,,,,,,,,,,"65","0"
"*","none","🤖 Te pido q solo escribas *Si* o *No* que sino no te puedo ayudar","single","","","b","","","","","0","","","","","","","","seconds","0","0","18","18",,,,,,,,,,,"66","0"
"*","none","🤖 Necesitas más ayuda?\nSi - Si un humano\n*No* - Fuiste de gran ayuda y muy amable","single","","","b","","","","","0","","","","","","","","seconds","0","0","19","",,,,,,,,,,,"67","0"
"si","none","🤖 Qué pena q no me explico bien, le aviso a mi supervisor y cuando quede libre t responde","single","","","b","","","","","0","","","","","","","","seconds","0","0","22","",,,,,,,,,,,"68","0"
"no","none","Qué bueno! Buena semana! 🤗","single","","","b","","","","","0","","","","","","","","seconds","0","0","22","",,,,,,,,,,,"69","0"
"*cliente*cuit*","normal","☑️ Genial! Podemos continuar correctamente!\n\n📦 ¿A qué se debe esta consulta mayorista?\n*1*. 🛒 Quiero comprar nuevamente o saber la lista de precios\n*2*. 🫂 Quiero hablar con un humano\n\n📌 Respondé a este mensaje con el número correspondiente y enseguida te atendemos!","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","15","",,,,,,,,,,,"70","0"
"1","similar","📦 *Retiro de Producto:*\n\n📌 Para poder venir a retirar un producto, es necesario:\n•Tener la compra realizada en los últimos 28 días\n•Venir dentro de los horarios de atención ya mencionados en el mensaje anterior\n•La persona que retire el producto debe venir con su DNI propio\n\n☑️ Podés retirar el producto vos o algún conocido tuyo\n🚫 Una vez pasados los 28 días no se podrá retirar el producto, por lo que en caso de no poder retirarlo, cancelar la compra.\n\n🫂 Gracias por confiar en nosotros! Que tengas un buen día!","single","","","c","","","3","3","0","","","","","","","","seconds","2","0","13","",,,,,,,,,,,"71","0"
"2","similar","🔄 *Cambios y Devoluciones:*\n\n👉 Elegí la opción que corresponda:\n*1.* Ya concreté el cambio/devolución mediante Mercado Libre\n*2.* Ya concreté el reclamo por Whatsapp\n*3.* Todavía no concreté un cambio o devolución de producto","single","","","c","","","3","3","0","","","","","","","","seconds","2","0","13","",,,,,,,,,,,"72","0"
"*1*","normal","🔄 *Cambio o Devolución por Mercado Libre:*\n\n☑️ Perfecto, si ya concretaste un cambio o devolución por la plataforma, Mercado Libre te indicará todos los pasos a seguir y gestionará los reembolsos o gastos.\n\n👋 Que tengas un buen día!","single","","","c","","","3","3","0","","","","","","","","seconds","2","0","27","",,,,,,,,,,,"73","0"
"*2*","normal","🔄 *Cambios y Devoluciones por Whatsapp:*\n\n☑️ Perfecto, si ya concretaste cambio o devolución por acá, recordá realizarlo siguiendo lo que acordamos, podés revisar el chat para recordarlo\n\n👋 Que tengas un buen día!","single","","","c","","","3","3","0","","","","","","","","seconds","2","0","27","",,,,,,,,,,,"74","0"
"*3*","normal","📌 Si todavía no abriste el reclamo, inicialo por acá respondiendo a este mensaje con la letra *C*","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","27","",,,,,,,,,,,"75","0"
