sym,mult,step,lv,sl,tp,final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,yearly,ruin
EURUSD,1.0,20,3,60,6,0.0,-1000.0,-0.0223,-0.0632,1003.47,100.0,0.0,2015-01-15 11:00:00,0,3455,49,3406,0.06,3,-102.27,"{'2012': -156.32, '2013': -463.88, '2014': -260.33, '2015': -119.47, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.0,20,3,60,10,0.0,-1000.0,-0.0223,-0.017,1030.41,100.0,0.0,2015-04-09 22:00:00,3,3184,71,3110,0.06,3,-102.27,"{'2012': -105.89, '2013': -59.7, '2014': -188.67, '2015': -645.74, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.0,20,3,60,15,172.93,-827.07,-0.0184,0.0173,1149.69,95.5,54.36,,0,5216,160,5056,0.06,3,-106.15,"{'2012': -61.65, '2013': 221.48, '2014': -31.87, '2015': -902.53, '2016': -90.27, '2017': 37.77}",False
EURUSD,1.0,20,3,100,6,0.0,-1000.0,-0.0223,-0.053,1003.47,100.0,0.0,2015-01-27 17:00:00,1,3004,27,2976,0.06,3,-125.16,"{'2012': -69.65, '2013': -421.38, '2014': -265.48, '2015': -243.49, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.0,20,3,100,10,0.0,-1000.0,-0.0223,-0.0208,1018.15,100.0,0.0,2016-11-09 16:00:00,2,4148,55,4091,0.06,3,-126.23,"{'2012': -47.31, '2013': -105.87, '2014': -25.03, '2015': -689.11, '2016': -132.68, '2017': 0.0}",True
EURUSD,1.0,20,3,100,15,1036.61,36.61,0.0008,0.0193,600.62,44.3,755.06,,0,3797,67,3730,0.06,3,-126.23,"{'2012': -12.77, '2013': 215.93, '2014': 86.94, '2015': -433.07, '2016': 73.49, '2017': 106.09}",False
EURUSD,1.0,20,3,150,6,0.0,-1000.0,-0.0223,-0.0414,1003.47,100.0,0.0,2015-03-18 22:00:00,0,2256,16,2240,0.06,3,-163.02,"{'2012': -37.82, '2013': -335.27, '2014': -181.14, '2015': -445.77, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.0,20,3,150,10,133.25,-866.75,-0.0193,-0.0107,1000.83,96.4,37.0,,0,3479,31,3448,0.06,3,-163.02,"{'2012': -13.99, '2013': -63.99, '2014': -4.57, '2015': -741.19, '2016': -7.66, '2017': -35.35}",False
EURUSD,1.0,20,3,150,15,875.69,-124.31,-0.0028,0.01,579.49,47.3,645.86,,0,2549,31,2518,0.06,3,-174.07,"{'2012': 17.03, '2013': 99.79, '2014': 81.11, '2015': -477.88, '2016': 136.0, '2017': 19.64}",False
EURUSD,1.0,20,3,200,6,0.0,-1000.0,-0.0223,-0.0147,1003.47,100.0,0.0,2016-02-11 15:00:00,1,2366,12,2353,0.06,3,-216.25,"{'2012': -44.12, '2013': -95.65, '2014': -111.64, '2015': -662.95, '2016': -85.64, '2017': 0.0}",True
EURUSD,1.0,20,3,200,10,389.93,-610.07,-0.0136,0.0046,715.7,65.0,384.66,,0,2633,17,2616,0.06,3,-216.25,"{'2012': -27.78, '2013': 83.81, '2014': -70.01, '2015': -398.24, '2016': -143.95, '2017': -53.91}",False
EURUSD,1.0,20,3,200,15,995.3,-4.7,-0.0001,0.0257,422.69,32.2,892.06,,0,1943,17,1926,0.06,3,-216.25,"{'2012': -6.5, '2013': 261.28, '2014': -28.47, '2015': -217.09, '2016': 3.53, '2017': -17.44}",False
EURUSD,1.0,20,4,60,6,0.0,-1000.0,-0.0223,-0.0634,1020.79,100.0,0.0,2015-01-15 18:00:00,2,4011,54,3955,0.08,4,-109.69,"{'2012': -133.94, '2013': -470.09, '2014': -193.12, '2015': -202.85, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.0,20,4,60,10,0.0,-1000.0,-0.0223,-0.0182,1124.06,100.0,0.0,2015-03-27 18:00:00,1,3552,78,3473,0.08,4,-110.61,"{'2012': -85.25, '2013': -53.12, '2014': -213.65, '2015': -647.98, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.0,20,4,60,15,0.0,-1000.0,-0.0223,0.0095,1332.69,100.0,0.0,2016-06-24 05:00:00,1,4629,147,4481,0.08,4,-131.61,"{'2012': -29.12, '2013': 146.01, '2014': 98.25, '2015': -1011.3, '2016': -203.83, '2017': 0.0}",True
