final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
1355.8,355.8,0.0079,-0.0066,228.76,19.5,833.9,,0,1380,10,1370,0.06,3,-267.16,400,60,3,250,20,0.01,EURUSD,True
1189.68,189.68,0.0042,-0.0031,196.81,18.0,860.77,,0,1326,10,1316,0.06,3,-261.88,200,60,3,250,20,0.01,EURUSD,True
1117.73,117.73,0.0026,0.0092,284.28,24.4,880.64,,0,1320,13,1307,0.06,3,-264.78,50,15,3,250,20,0.01,EURUSD,True
2046.37,1046.37,0.0233,0.0073,314.57,22.7,780.99,,0,1956,13,1943,0.1,5,-298.72,400,60,5,250,20,0.01,EURUSD,False
2013.55,1013.55,0.0226,0.0125,307.35,20.4,804.0,,0,2044,14,2030,0.1,5,-298.72,200,60,5,250,20,0.01,EURUSD,False
1888.84,888.84,0.0198,-0.0352,547.57,49.0,522.23,,0,2179,16,2163,0.13,8,-342.12,400,60,8,250,20,0.01,EURUSD,False
1731.02,731.02,0.0163,0.0158,627.44,41.9,812.27,,0,2151,16,2135,0.1,5,-298.72,50,60,5,250,20,0.01,EURUSD,False
1690.57,690.57,0.0154,-0.0153,634.71,40.2,806.82,,0,1974,16,1958,0.1,5,-296.5,400,40,5,250,20,0.01,EURUSD,False
1650.25,650.25,0.0145,0.0227,720.07,54.5,600.62,,0,2232,38,2194,0.12,3,-303.07,50,40,3,250,20,0.02,EURUSD,False
1636.31,636.31,0.0142,0.0149,636.02,42.7,804.55,,0,2116,16,2100,0.1,5,-298.72,100,60,5,250,20,0.01,EURUSD,False
1442.21,442.21,0.0099,0.0274,481.62,31.6,981.94,,0,2084,42,2042,0.12,3,-313.11,50,15,3,250,20,0.02,EURUSD,False
