final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
838.38,-161.62,-0.0036,-0.0022,861.91,68.6,395.21,,0,3261,63,3198,0.12,3,-489.07,50,25,3,250,20,0.02,GBPUSD,False
803.98,-196.02,-0.0044,-0.0306,593.85,58.8,416.49,,0,3960,118,3842,0.06,3,-150.38,50,25,3,80,20,0.01,GBPUSD,False
657.08,-342.92,-0.0076,-0.0215,675.19,66.8,335.15,,0,2846,47,2799,0.06,3,-244.54,50,25,3,150,20,0.01,GBPUSD,False
597.54,-402.46,-0.009,-0.0289,727.12,72.0,283.22,,0,1748,18,1730,0.06,3,-387.06,50,25,3,250,20,0.01,GBPUSD,False
520.28,-479.72,-0.0107,-0.0194,742.54,73.1,273.01,,0,2653,48,2605,0.06,3,-244.54,50,15,3,150,20,0.01,GBPUSD,False
486.16,-513.84,-0.0115,-0.0207,783.16,75.9,249.33,,0,1613,18,1595,0.06,3,-387.06,50,15,3,250,20,0.01,GBPUSD,False
383.67,-616.33,-0.0137,-0.0403,919.31,90.5,96.24,,0,3953,131,3822,0.06,3,-154.31,50,15,3,80,20,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.078,1007.78,100.0,0.0,2014-09-19 10:00:00,1,2014,40,1973,0.06,3,-107.87,50,15,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0506,1007.78,100.0,0.0,2015-05-29 00:00:00,4,2151,23,2124,0.06,3,-185.62,50,15,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0439,1007.78,100.0,0.0,2016-02-29 09:00:00,3,1900,12,1885,0.06,3,-259.31,50,15,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.41,100.0,0.0,2013-11-14 10:00:00,3,1529,32,1494,0.1,5,-141.61,50,15,5,80,10,0.01,GBPUSD,False
