step,sl,ema,EUR_net,EUR_dd,EUR_ruina,GBP_net,GBP_dd,GBP_ruina,COMB_net,COMB_usd_h,COMB_dd
x0.8,x0.8,x0.8,101.93,164.66,False,-747.67,1007.0,False,-645.75,-0.0177,929.18
x0.8,x0.8,x1.0,63.48,193.52,False,-1000.0,1052.61,True,-936.52,-0.0256,1071.31
x0.8,x0.8,x1.2,40.59,213.68,False,-730.24,990.66,False,-689.66,-0.0189,954.22
x0.8,x1.0,x0.8,247.33,115.01,False,-525.74,734.0,False,-278.41,-0.0076,690.02
x0.8,x1.0,x1.0,265.93,116.91,False,-492.2,741.02,False,-226.27,-0.0062,678.07
x0.8,x1.0,x1.2,241.44,120.74,False,-567.07,809.78,False,-325.62,-0.0089,746.8
x0.8,x1.2,x0.8,63.53,158.69,False,-503.42,687.73,False,-439.89,-0.012,736.66
x0.8,x1.2,x1.0,83.97,164.48,False,-607.67,754.83,False,-523.7,-0.0143,816.06
x0.8,x1.2,x1.2,65.24,164.48,False,-677.04,802.63,False,-611.8,-0.0167,868.34
x1.0,x0.8,x0.8,259.41,181.75,False,-244.27,602.62,False,15.13,0.0004,491.19
x1.0,x0.8,x1.0,222.89,202.95,False,-372.88,698.99,False,-150.0,-0.0041,579.44
x1.0,x0.8,x1.2,203.83,209.9,False,-358.4,680.96,False,-154.58,-0.0042,539.23
x1.0,x1.0,x0.8,464.45,117.63,False,-149.74,675.25,False,314.71,0.0086,500.35
x1.0,x1.0,x1.0,432.36,119.53,False,-193.1,688.27,False,239.26,0.0065,507.71
x1.0,x1.0,x1.2,411.58,123.36,False,-267.33,759.02,False,144.25,0.0039,568.78
x1.0,x1.2,x0.8,187.44,158.36,False,-349.16,546.61,False,-161.72,-0.0044,519.93
x1.0,x1.2,x1.0,157.19,164.15,False,-459.41,617.69,False,-302.22,-0.0083,577.02
x1.0,x1.2,x1.2,144.1,164.15,False,-522.48,663.65,False,-378.38,-0.0104,622.98
x1.2,x0.8,x0.8,405.9,94.31,False,-291.76,641.56,False,114.14,0.0031,335.74
x1.2,x0.8,x1.0,381.44,100.1,False,-288.09,622.06,False,93.35,0.0026,311.74
x1.2,x0.8,x1.2,373.99,100.1,False,-331.58,642.7,False,42.41,0.0012,347.78
x1.2,x1.0,x0.8,373.54,131.57,False,-137.15,584.81,False,236.39,0.0065,379.77
x1.2,x1.0,x1.0,350.89,133.47,False,-182.1,609.36,False,168.79,0.0046,435.84
x1.2,x1.0,x1.2,337.89,137.3,False,-261.8,674.59,False,76.09,0.0021,502.97
x1.2,x1.2,x0.8,174.65,134.09,False,-266.48,418.92,False,-91.83,-0.0025,369.43
x1.2,x1.2,x1.0,157.25,143.74,False,-365.53,489.24,False,-208.28,-0.0057,448.62
x1.2,x1.2,x1.2,148.08,148.65,False,-435.96,557.09,False,-287.88,-0.0079,512.32
