step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
2.0,all,1.0,3,150,6,True,24,False,-1000.0,-0.0223,1007.68,100.0,2014-09-30 11:00:00,0,5039,0,4552,487,-57.2,0.05
0.5,7-20,1.2,3,150,6,False,24,False,-1000.0,-0.0223,1017.91,100.0,2013-10-01 08:00:00,1,2424,0,2244,179,-98.72,0.06
0.5,all,1.0,6,60,10,False,24,False,-1000.0,-0.0223,1016.36,100.0,2014-10-14 11:00:00,2,4679,26,4190,461,-91.87,0.11
2.0,7-20,1.2,3,100,6,False,72,False,-1000.0,-0.0223,1001.75,100.0,2015-01-05 10:00:00,3,3939,1,3776,159,-117.85,0.06
1.0,all,1.2,6,100,10,True,72,True,-1000.0,-0.0223,1243.6,100.0,2015-05-06 16:00:00,2,4299,22,4122,153,-204.82,0.11
1.0,all,1.0,6,250,10,False,72,False,-1000.0,-0.0223,1092.55,100.0,2015-04-29 17:00:00,1,4657,0,4465,191,-187.39,0.11
1.0,all,1.0,4,60,6,False,168,False,-1000.0,-0.0223,1021.85,100.0,2014-09-05 13:00:00,5,3515,43,3445,22,-90.25,0.08
0.5,7-20,1.2,6,250,10,False,72,True,-1000.0,-0.0223,1156.67,100.0,2015-04-30 10:00:00,1,3997,0,3835,161,-206.68,0.12
2.0,7-20,1.0,6,250,6,True,72,True,-1000.0,-0.0223,1034.27,100.0,2015-01-23 13:00:00,2,3745,0,3604,139,-142.28,0.08
0.5,7-20,1.0,6,150,10,True,168,True,-1000.0,-0.0223,1128.8,100.0,2015-04-03 10:00:00,5,3230,16,3159,50,-230.62,0.12
2.0,all,1.2,3,150,10,True,168,True,-306.53,-0.0068,719.41,60.6,,0,6308,2,6147,159,-183.42,0.06
2.0,7-20,1.2,3,60,10,True,24,True,-1000.0,-0.0223,1000.43,100.0,2015-06-04 11:00:00,1,4738,4,4139,594,-119.78,0.05
1.5,7-20,1.2,4,150,6,False,72,True,-1000.0,-0.0223,1044.02,100.0,2015-01-23 14:00:00,1,3899,1,3759,138,-158.34,0.08
0.5,7-20,1.0,4,100,10,False,168,False,-1000.0,-0.0223,1007.2,100.0,2015-04-07 11:00:00,2,3222,23,3132,65,-167.02,0.08
1.5,12-21,1.0,6,100,10,False,24,True,-1000.0,-0.0223,1000.95,100.0,2015-06-02 16:00:00,2,3693,2,3218,471,-115.61,0.08
1.5,all,1.0,3,60,6,False,24,False,-1000.0,-0.0223,1011.32,100.0,2014-09-04 17:00:00,0,5062,2,4610,450,-63.68,0.06
0.5,all,1.0,6,150,10,True,72,False,-1000.0,-0.0223,1030.82,100.0,2015-03-18 22:00:00,0,4578,8,4393,177,-230.23,0.12
0.5,all,1.0,6,150,6,False,168,False,-1000.0,-0.0223,1005.32,100.0,2013-10-22 20:00:00,6,2217,8,2185,18,-230.88,0.12
0.5,7-20,1.0,4,250,10,True,168,True,-1000.0,-0.0223,1067.55,100.0,2015-08-24 16:00:00,0,3452,1,3361,90,-251.01,0.08
1.0,all,1.0,3,150,10,False,72,True,-692.64,-0.0154,1014.39,89.3,,0,8613,0,8173,440,-120.62,0.06
1.0,all,1.0,4,250,6,True,72,True,-1000.0,-0.0223,1022.85,100.0,2015-01-05 00:00:00,0,4455,0,4317,138,-106.92,0.08
1.5,7-20,1.0,4,60,6,True,168,True,-1000.0,-0.0223,1063.6,100.0,2015-03-11 08:00:00,4,3658,42,3590,22,-110.57,0.08
1.5,12-21,1.2,3,100,6,True,168,True,-1000.0,-0.0223,1047.7,100.0,2015-03-18 22:00:00,0,2814,4,2753,57,-125.16,0.06
0.5,all,1.0,6,100,6,False,24,True,-1000.0,-0.0223,1007.57,100.0,2013-11-07 14:00:00,2,2982,3,2808,169,-121.26,0.11
1.5,7-20,1.2,6,250,10,False,24,True,-1000.0,-0.0223,1000.95,100.0,2015-03-18 22:00:00,1,4318,0,3786,531,-158.43,0.07
0.5,12-21,1.2,4,250,10,True,72,False,-1000.0,-0.0223,1000.53,100.0,2015-04-09 17:00:00,3,3364,0,3189,172,-147.47,0.08
2.0,7-20,1.0,4,60,6,True,72,True,-1000.0,-0.0223,1033.74,100.0,2014-12-18 12:00:00,2,3628,19,3485,122,-82.17,0.08
2.0,all,1.0,4,100,10,True,24,True,-887.33,-0.0198,975.92,95.6,,0,10956,2,9667,1287,-119.78,0.06
2.0,all,1.2,6,250,6,True,72,True,-1000.0,-0.0223,1038.51,100.0,2015-03-06 15:00:00,2,4456,0,4305,149,-157.61,0.08
1.5,7-20,1.2,4,150,6,False,24,False,-1000.0,-0.0223,1016.3,100.0,2014-02-28 11:00:00,1,3268,0,3005,262,-106.88,0.06
1.0,12-21,1.2,6,250,6,False,168,False,-1000.0,-0.0223,1011.77,100.0,2013-10-23 15:00:00,7,1424,0,1395,22,-194.08,0.12
1.0,all,1.0,3,250,6,False,168,True,-1000.0,-0.0223,1046.82,100.0,2015-04-03 15:00:00,1,3839,0,3765,73,-126.38,0.06
1.5,all,1.0,6,100,6,True,24,True,-1000.0,-0.0223,1000.68,100.0,2014-10-06 21:00:00,2,4794,0,4386,406,-69.75,0.07
1.5,12-21,1.0,6,100,6,False,72,True,-1000.0,-0.0223,1039.03,100.0,2015-03-06 15:00:00,3,3389,5,3270,111,-183.54,0.09
1.0,all,1.2,6,150,10,True,168,False,-1000.0,-0.0223,1034.86,100.0,2015-01-27 17:00:00,1,3313,10,3252,50,-222.04,0.12
2.0,12-21,1.2,3,60,6,True,24,False,-1000.0,-0.0223,1010.4,100.0,2014-12-04 17:00:00,1,3776,0,3381,394,-48.76,0.05
0.5,all,1.0,3,150,6,False,168,True,-1000.0,-0.0223,1040.95,100.0,2015-03-20 08:00:00,4,3696,1,3615,76,-157.22,0.06
2.0,7-20,1.2,4,250,6,False,24,False,-1000.0,-0.0223,1009.47,100.0,2014-05-21 14:00:00,5,3641,0,3301,335,-106.88,0.05
2.0,12-21,1.0,6,250,6,False,24,True,-1000.0,-0.0223,1000.12,100.0,2015-01-23 14:00:00,1,3590,0,3223,366,-60.42,0.07
0.5,12-21,1.0,4,150,6,True,168,True,-1000.0,-0.0223,1065.65,100.0,2015-01-23 14:00:00,1,2802,0,2747,54,-133.93,0.08
2.0,all,1.2,6,150,6,True,24,True,-1000.0,-0.0223,1000.12,100.0,2014-10-08 08:00:00,8,4605,0,4171,426,-64.66,0.07
1.5,all,1.0,3,60,6,True,24,False,-1000.0,-0.0223,1011.32,100.0,2014-09-04 17:00:00,0,5062,2,4610,450,-63.68,0.06
1.0,7-20,1.2,6,60,6,False,72,True,-1000.0,-0.0223,1005.54,100.0,2014-08-07 14:00:00,4,3372,30,3263,75,-82.21,0.11
1.0,all,1.2,6,150,10,True,72,False,-1000.0,-0.0223,1092.55,100.0,2015-03-20 03:00:00,2,4383,7,4198,176,-222.04,0.11
0.5,12-21,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1008.91,100.0,2014-02-13 12:00:00,1,2265,1,2097,166,-145.59,0.08
1.0,all,1.0,3,100,6,True,168,True,-1000.0,-0.0223,1046.82,100.0,2015-03-18 22:00:00,0,3776,6,3703,67,-134.31,0.06
2.0,7-20,1.2,6,60,10,False,72,False,-1000.0,-0.0223,1045.99,100.0,2015-05-19 10:00:00,1,4002,42,3789,170,-99.63,0.08
1.0,7-20,1.2,4,150,10,True,72,True,-1000.0,-0.0223,1085.51,100.0,2015-05-20 09:00:00,1,3912,3,3728,180,-189.45,0.08
0.5,7-20,1.0,6,150,10,True,72,True,-1000.0,-0.0223,1152.58,100.0,2015-04-07 11:00:00,2,3861,7,3700,152,-230.62,0.12
