step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
2.0,all,1.0,3,150,6,True,24,False,-1000.0,-0.0223,1006.08,100.0,2013-10-09 16:00:00,3,2800,0,2575,222,-54.73,0.05
0.5,7-20,1.2,3,150,6,False,24,False,-1000.0,-0.0223,1018.82,100.0,2013-07-05 09:00:00,7,1857,0,1729,121,-53.11,0.06
0.5,all,1.0,6,60,10,False,24,False,-1000.0,-0.0223,1039.83,100.0,2013-07-04 18:00:00,4,1901,18,1743,136,-101.24,0.1
2.0,7-20,1.2,3,100,6,False,72,False,-1000.0,-0.0223,1026.33,100.0,2013-12-17 12:00:00,3,2236,1,2155,77,-107.61,0.06
1.0,all,1.2,6,100,10,True,72,True,-1000.0,-0.0223,1004.66,100.0,2013-07-05 14:00:00,1,1142,9,1095,37,-129.87,0.11
1.0,all,1.0,6,250,10,False,72,False,-1000.0,-0.0223,1076.33,100.0,2013-10-23 09:00:00,2,2022,0,1946,74,-172.22,0.12
1.0,all,1.0,4,60,6,False,168,False,-1000.0,-0.0223,1009.78,100.0,2013-05-28 05:00:00,7,1201,24,1167,3,-91.42,0.08
0.5,7-20,1.2,6,250,10,False,72,True,-1000.0,-0.0223,1012.5,100.0,2013-09-18 20:00:00,1,1489,0,1438,50,-148.94,0.12
2.0,7-20,1.0,6,250,6,True,72,True,-1000.0,-0.0223,1013.25,100.0,2013-12-02 07:00:00,2,1944,0,1882,60,-117.98,0.09
0.5,7-20,1.0,6,150,10,True,168,True,-1000.0,-0.0223,1021.02,100.0,2013-06-06 18:00:00,2,743,9,726,6,-167.31,0.12
2.0,all,1.2,3,150,10,True,168,True,-1000.0,-0.0223,1004.53,100.0,2015-10-30 17:00:00,1,3977,1,3879,96,-150.95,0.06
2.0,7-20,1.2,3,60,10,True,24,True,-1000.0,-0.0223,1002.1,100.0,2015-03-20 08:00:00,3,4580,3,4087,487,-78.65,0.05
1.5,7-20,1.2,4,150,6,False,72,True,-1000.0,-0.0223,1024.0,100.0,2014-02-18 08:00:00,6,2503,0,2421,76,-99.96,0.08
0.5,7-20,1.0,4,100,10,False,168,False,-1000.0,-0.0223,1012.39,100.0,2013-10-18 13:00:00,4,1461,19,1419,19,-133.71,0.08
1.5,12-21,1.0,6,100,10,False,24,True,-1000.0,-0.0223,1005.82,100.0,2015-05-11 12:00:00,1,3876,1,3464,410,-131.88,0.07
1.5,all,1.0,3,60,6,False,24,False,-1000.0,-0.0223,1010.79,100.0,2013-10-01 06:00:00,4,2837,1,2623,209,-62.53,0.06
0.5,all,1.0,6,150,10,True,72,False,-1000.0,-0.0223,1053.51,100.0,2013-07-05 14:00:00,1,1475,5,1424,45,-205.07,0.12
0.5,all,1.0,6,150,6,False,168,False,-1000.0,-0.0223,1016.07,100.0,2013-05-13 19:00:00,3,1158,9,1141,5,-167.41,0.12
0.5,7-20,1.0,4,250,10,True,168,True,-1000.0,-0.0223,1017.54,100.0,2014-02-14 09:00:00,2,1587,0,1541,44,-149.39,0.08
1.0,all,1.0,3,150,10,False,72,True,-1000.0,-0.0223,1004.66,100.0,2015-03-18 22:00:00,1,4160,0,3972,187,-148.37,0.06
1.0,all,1.0,4,250,6,True,72,True,-1000.0,-0.0223,1006.99,100.0,2013-07-05 14:00:00,2,1368,0,1326,40,-144.18,0.08
1.5,7-20,1.0,4,60,6,True,168,True,-1000.0,-0.0223,1027.35,100.0,2013-07-31 14:00:00,4,1150,24,1122,0,-97.97,0.08
1.5,12-21,1.2,3,100,6,True,168,True,-1000.0,-0.0223,1013.73,100.0,2015-01-09 12:00:00,4,2602,5,2547,46,-125.53,0.06
0.5,all,1.0,6,100,6,False,24,True,-1000.0,-0.0223,1005.95,100.0,2013-04-19 11:00:00,2,1169,1,1104,62,-108.25,0.1
1.5,7-20,1.2,6,250,10,False,24,True,-1000.0,-0.0223,1009.28,100.0,2015-03-18 22:00:00,1,4746,0,4277,468,-131.88,0.07
0.5,12-21,1.2,4,250,10,True,72,False,-1000.0,-0.0223,1024.89,100.0,2014-09-17 16:00:00,2,2659,0,2531,126,-152.94,0.08
2.0,7-20,1.0,4,60,6,True,72,True,-1000.0,-0.0223,1013.25,100.0,2013-10-18 18:00:00,6,1744,14,1681,43,-97.92,0.07
2.0,all,1.0,4,100,10,True,24,True,-1000.0,-0.0223,1007.07,100.0,2015-09-14 18:00:00,4,6458,2,5793,659,-129.72,0.07
2.0,all,1.2,6,250,6,True,72,True,-1000.0,-0.0223,1013.9,100.0,2013-08-15 10:00:00,4,1567,0,1517,46,-131.95,0.09
1.5,7-20,1.2,4,150,6,False,24,False,-1000.0,-0.0223,1006.12,100.0,2013-10-18 15:00:00,4,2512,0,2332,176,-75.62,0.06
1.0,12-21,1.2,6,250,6,False,168,False,-1000.0,-0.0223,1002.42,100.0,2013-07-05 14:00:00,2,990,0,974,14,-160.43,0.11
1.0,all,1.0,3,250,6,False,168,True,-1000.0,-0.0223,1006.02,100.0,2013-12-18 10:00:00,2,1877,0,1839,36,-119.95,0.06
1.5,all,1.0,6,100,6,True,24,True,-1000.0,-0.0223,1005.57,100.0,2013-09-19 14:00:00,4,2326,1,2164,157,-140.13,0.07
1.5,12-21,1.0,6,100,6,False,72,True,-1000.0,-0.0223,1015.78,100.0,2013-12-02 12:00:00,2,1591,4,1539,46,-143.83,0.09
