f_step,f_sl,f_N,step_atr_mult,basket_sl_usd,max_basket_hours,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
0.8,0.8,0.8,1.6,200.0,134.4,-5.22,-0.0001,372.59,31.3,,0,5318,0,5147,171,-111.53,0.08
0.8,0.8,1.0,1.6,200.0,168.0,-371.79,-0.0102,471.41,43.2,,0,4922,0,4783,139,-142.97,0.08
0.8,0.8,1.2,1.6,200.0,201.6,-230.5,-0.0063,553.29,46.3,,0,4539,1,4422,116,-202.37,0.08
0.8,1.0,0.8,1.6,250.0,134.4,-5.22,-0.0001,372.59,31.3,,0,5318,0,5147,171,-111.53,0.08
0.8,1.0,1.0,1.6,250.0,168.0,-371.79,-0.0102,471.41,43.2,,0,4922,0,4783,139,-142.97,0.08
0.8,1.0,1.2,1.6,250.0,201.6,-241.91,-0.0066,564.7,47.3,,0,4536,0,4419,117,-210.93,0.08
0.8,1.2,0.8,1.6,300.0,134.4,-5.22,-0.0001,372.59,31.3,,0,5318,0,5147,171,-111.53,0.08
0.8,1.2,1.0,1.6,300.0,168.0,-371.79,-0.0102,471.41,43.2,,0,4922,0,4783,139,-142.97,0.08
0.8,1.2,1.2,1.6,300.0,201.6,-241.91,-0.0066,564.7,47.3,,0,4536,0,4419,117,-210.93,0.08
1.0,0.8,0.8,2.0,200.0,134.4,-149.71,-0.0041,426.19,40.8,,0,5195,0,5024,171,-167.13,0.08
1.0,0.8,1.0,2.0,200.0,168.0,-198.62,-0.0054,453.06,44.5,,0,4786,0,4651,135,-155.57,0.08
1.0,0.8,1.2,2.0,200.0,201.6,-12.57,-0.0003,371.81,32.9,,0,4474,0,4363,111,-124.33,0.08
1.0,1.0,0.8,2.0,250.0,134.4,-149.71,-0.0041,426.19,40.8,,0,5195,0,5024,171,-167.13,0.08
1.0,1.0,1.0,2.0,250.0,168.0,-198.62,-0.0054,453.06,44.5,,0,4786,0,4651,135,-155.57,0.08
1.0,1.0,1.2,2.0,250.0,201.6,-12.57,-0.0003,371.81,32.9,,0,4474,0,4363,111,-124.33,0.08
1.0,1.2,0.8,2.0,300.0,134.4,-149.71,-0.0041,426.19,40.8,,0,5195,0,5024,171,-167.13,0.08
1.0,1.2,1.0,2.0,300.0,168.0,-198.62,-0.0054,453.06,44.5,,0,4786,0,4651,135,-155.57,0.08
1.0,1.2,1.2,2.0,300.0,201.6,-12.57,-0.0003,371.81,32.9,,0,4474,0,4363,111,-124.33,0.08
1.2,0.8,0.8,2.4,200.0,134.4,-5.19,-0.0001,392.12,34.6,,0,5039,0,4874,165,-154.58,0.07
1.2,0.8,1.0,2.4,200.0,168.0,-153.68,-0.0042,407.31,39.8,,0,4651,0,4516,135,-143.02,0.08
1.2,0.8,1.2,2.4,200.0,201.6,40.39,0.0011,369.53,31.3,,0,4324,0,4215,109,-123.46,0.08
1.2,1.0,0.8,2.4,250.0,134.4,-5.19,-0.0001,392.12,34.6,,0,5039,0,4874,165,-154.58,0.07
1.2,1.0,1.0,2.4,250.0,168.0,-153.68,-0.0042,407.31,39.8,,0,4651,0,4516,135,-143.02,0.08
1.2,1.0,1.2,2.4,250.0,201.6,40.39,0.0011,369.53,31.3,,0,4324,0,4215,109,-123.46,0.08
1.2,1.2,0.8,2.4,300.0,134.4,-5.19,-0.0001,392.12,34.6,,0,5039,0,4874,165,-154.58,0.07
1.2,1.2,1.0,2.4,300.0,168.0,-153.68,-0.0042,407.31,39.8,,0,4651,0,4516,135,-143.02,0.08
1.2,1.2,1.2,2.4,300.0,201.6,40.39,0.0011,369.53,31.3,,0,4324,0,4215,109,-123.46,0.08
