f_step,f_sl,f_N,step_atr_mult,basket_sl_usd,max_basket_hours,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
0.8,0.8,0.8,1.6,120.0,19.2,-1000.0,-0.0274,1005.01,100.0,2020-03-18 18:00:00,0,6298,1,5574,723,-172.21,0.06
0.8,0.8,1.0,1.6,120.0,24.0,-1000.0,-0.0274,1002.81,100.0,2020-06-22 10:00:00,3,6640,2,5992,643,-172.21,0.06
0.8,0.8,1.2,1.6,120.0,28.8,-1000.0,-0.0274,1014.71,100.0,2020-03-26 21:00:00,0,5751,3,5242,506,-142.97,0.06
0.8,1.0,0.8,1.6,150.0,19.2,-1000.0,-0.0274,1005.01,100.0,2020-03-18 18:00:00,0,6298,1,5574,723,-172.21,0.06
0.8,1.0,1.0,1.6,150.0,24.0,-1000.0,-0.0274,1002.81,100.0,2020-06-16 09:00:00,4,6583,1,5938,640,-172.21,0.06
0.8,1.0,1.2,1.6,150.0,28.8,-1000.0,-0.0274,1014.71,100.0,2020-06-12 10:00:00,3,6361,0,5802,556,-121.83,0.06
0.8,1.2,0.8,1.6,180.0,19.2,-1000.0,-0.0274,1005.01,100.0,2020-03-20 16:00:00,1,6333,0,5608,724,-134.34,0.06
0.8,1.2,1.0,1.6,180.0,24.0,-1000.0,-0.0274,1002.81,100.0,2020-07-02 16:00:00,2,6749,0,6095,652,-162.04,0.06
0.8,1.2,1.2,1.6,180.0,28.8,-1000.0,-0.0274,1014.71,100.0,2020-06-12 10:00:00,3,6361,0,5802,556,-121.83,0.06
1.0,0.8,0.8,2.0,120.0,19.2,-902.76,-0.0247,975.67,97.3,,0,11910,1,10535,1374,-172.21,0.05
1.0,0.8,1.0,2.0,120.0,24.0,-869.55,-0.0238,995.45,95.9,,0,11093,2,10007,1084,-172.21,0.06
1.0,0.8,1.2,2.0,120.0,28.8,-1000.0,-0.0274,1017.48,100.0,2020-09-02 10:00:00,1,6891,2,6274,614,-137.67,0.06
1.0,1.0,0.8,2.0,150.0,19.2,-902.76,-0.0247,975.67,97.3,,0,11910,1,10535,1374,-172.21,0.05
1.0,1.0,1.0,2.0,150.0,24.0,-865.02,-0.0237,990.92,95.5,,0,11092,1,10006,1085,-172.21,0.06
1.0,1.0,1.2,2.0,150.0,28.8,-1000.0,-0.0274,1017.48,100.0,2020-09-14 16:00:00,1,6985,0,6359,625,-113.0,0.06
1.0,1.2,0.8,2.0,180.0,19.2,-837.21,-0.0229,910.12,90.8,,0,11913,0,10539,1374,-134.34,0.05
1.0,1.2,1.0,2.0,180.0,24.0,-852.09,-0.0233,977.99,94.3,,0,11096,0,10010,1086,-162.04,0.06
1.0,1.2,1.2,2.0,180.0,28.8,-1000.0,-0.0274,1017.48,100.0,2020-09-14 16:00:00,1,6985,0,6359,625,-113.0,0.06
1.2,0.8,0.8,2.4,120.0,19.2,-834.55,-0.0228,920.88,91.8,,0,11646,1,10208,1437,-172.21,0.05
1.2,0.8,1.0,2.4,120.0,24.0,-718.61,-0.0197,862.29,84.5,,0,10788,1,9662,1125,-172.21,0.06
1.2,0.8,1.2,2.4,120.0,28.8,-1000.0,-0.0274,1019.39,100.0,2020-09-10 19:00:00,2,6737,1,6100,634,-137.67,0.06
1.2,1.0,0.8,2.4,150.0,19.2,-834.55,-0.0228,920.88,91.8,,0,11646,1,10208,1437,-172.21,0.05
1.2,1.0,1.0,2.4,150.0,24.0,-718.61,-0.0197,862.29,84.5,,0,10788,1,9662,1125,-172.21,0.06
1.2,1.0,1.2,2.4,150.0,28.8,-659.45,-0.018,948.62,93.1,,0,10375,0,9393,982,-110.62,0.06
1.2,1.2,0.8,2.4,180.0,19.2,-771.79,-0.0211,858.12,85.6,,0,11647,0,10210,1437,-134.34,0.05
1.2,1.2,1.0,2.4,180.0,24.0,-705.68,-0.0193,849.36,83.2,,0,10792,0,9666,1126,-162.04,0.06
1.2,1.2,1.2,2.4,180.0,28.8,-659.45,-0.018,948.62,93.1,,0,10375,0,9393,982,-110.62,0.06
