stage,symbol,rule,lookback_h,entry_hours,sl_atr,rr,exit_hour,trail,seed,firm,firm_variant,max_days,risk,max_trades_day,day_stop,risk_on_balance,segment,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,fail_pct
s1,XAUUSD,momentum,4,[10],0.5,1.0,22,0.0,0,ftmo_1step,,7,2.0,1,,False,IS,845,0.0,0.0,0.0,17.2,82.8,,4.9,7.72,-2.32,96111.0,17.2
s1,XAUUSD,momentum,4,[10],0.5,1.0,22,0.0,0,ftmo_1step,,7,2.0,1,,False,OOS,816,0.0,0.0,0.0,20.7,79.3,,4.9,7.81,-2.25,95763.0,20.7
s1,XAUUSD,momentum,4,[10],0.5,1.0,22,0.0,0,fundingpips_1step,,7,2.0,1,,False,IS,845,0.0,0.0,0.0,44.4,55.6,,4.5,7.13,-2.32,96457.0,44.4
s1,XAUUSD,momentum,4,[10],0.5,1.0,22,0.0,0,fundingpips_1step,,7,2.0,1,,False,OOS,816,0.0,0.0,0.0,48.8,51.2,,4.4,7.12,-2.26,96217.0,48.8
s1,XAUUSD,momentum,4,[10],0.5,2.0,22,0.0,0,ftmo_1step,,7,2.0,1,,False,IS,845,3.0,0.0,0.0,30.1,67.0,4.4,4.8,8.56,-2.32,96919.0,30.1
s1,XAUUSD,momentum,4,[10],0.5,2.0,22,0.0,0,ftmo_1step,,7,2.0,1,,False,OOS,816,0.9,0.0,0.0,31.5,67.6,4.4,4.8,8.5,-2.25,96169.0,31.5
s1,XAUUSD,momentum,4,[10],0.5,2.0,22,0.0,0,fundingpips_1step,,7,2.0,1,,False,IS,845,3.0,0.0,0.0,39.2,57.9,4.4,4.2,7.54,-2.32,97408.0,39.2
s1,XAUUSD,momentum,4,[10],0.5,2.0,22,0.0,0,fundingpips_1step,,7,2.0,1,,False,OOS,816,1.3,0.0,0.0,43.5,55.1,4.4,4.1,7.4,-2.25,96781.0,43.5
s1,XAUUSD,momentum,4,[10],0.5,3.0,22,0.0,0,ftmo_1step,,7,2.0,1,,False,IS,845,4.0,4.4,0.0,44.1,47.5,5.4,4.5,9.36,-2.26,97362.0,44.1
s1,XAUUSD,momentum,4,[10],0.5,3.0,22,0.0,0,ftmo_1step,,7,2.0,1,,False,OOS,816,2.0,1.6,0.0,46.7,49.8,6.4,4.7,9.34,-2.23,96185.0,46.7
