stage,sym,firm,risk,max_days,target,baseline_seed,sim,exit_hour,expire_hour,max_range_atr,min_range_atr,rng_type,rr,sl_frac,max_trades_day,is_n,is_pass_pct,is_pass_inc_pct,is_fail_pct,is_timeout_pct,is_days_med,is_trades,is_endbal,oos_n,oos_pass_pct,oos_pass_inc_pct,oos_fail_pct,oos_timeout_pct,oos_days_med,oos_trades,oos_endbal,trail,sl_atr,strat_key,exec_key,skip_dow,risk_on_balance,day_stop_pct
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,0.9,99.1,,3.3,99723.0,163,0.0,0.0,0.6,99.4,,3.2,99611.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,7.7,92.3,,3.2,99752.0,163,0.0,0.0,10.4,89.6,,3.2,99652.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,2.0,1.0,1,338,1.8,0.0,1.5,96.7,5.6,3.3,99886.0,163,1.8,0.0,0.6,97.5,4.7,3.2,99838.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,2.0,1.0,1,338,1.8,0.0,10.7,87.6,5.6,3.2,99899.0,163,1.8,0.0,12.9,85.3,4.7,3.2,99857.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,3.0,1.0,1,338,2.4,2.4,2.1,93.2,4.7,3.2,100016.0,163,1.2,0.6,1.2,96.9,5.7,3.2,100024.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,3.0,1.0,1,338,4.7,0.0,11.2,84.0,3.7,3.1,100034.0,163,1.8,0.0,12.9,85.3,4.7,3.2,100043.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,0.0,1.0,1,338,0.0,2.1,0.3,97.6,,3.3,99733.0,163,0.0,0.6,0.0,99.4,,3.2,99758.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,0.0,1.0,1,338,2.1,0.0,3.0,95.0,4.5,3.3,99735.0,163,0.6,0.0,2.5,96.9,3.7,3.2,99770.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,1.0,0.5,1,338,0.0,0.0,2.4,97.6,,3.3,98493.0,163,0.0,0.0,3.1,96.9,,3.2,98426.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,1.0,0.5,1,338,0.0,0.0,22.5,77.5,,3.2,98587.0,163,0.0,0.0,20.9,79.1,,3.1,98551.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,2.0,0.5,1,338,2.7,0.0,6.5,90.8,6.4,3.3,98406.0,163,2.5,0.0,5.5,92.0,5.4,3.2,98524.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,2.0,0.5,1,338,3.0,0.0,27.2,69.8,6.4,3.1,98560.0,163,2.5,0.0,30.1,67.5,5.4,3.0,98465.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,3.0,0.5,1,338,1.8,2.4,9.8,86.1,6.1,3.2,98547.0,163,0.6,4.9,9.2,85.3,3.6,3.1,98559.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,3.0,0.5,1,338,4.1,0.0,31.7,64.2,5.4,3.0,98669.0,163,6.1,0.0,35.0,58.9,3.6,2.9,98556.0,,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,0.0,0.5,1,338,0.6,6.8,7.1,85.5,6.7,3.1,98920.0,163,0.0,5.5,5.5,89.0,,3.1,98766.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,0.0,0.5,1,338,8.3,0.0,21.0,70.7,3.7,3.0,99104.0,163,6.1,0.0,22.1,71.8,2.7,3.0,98789.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 0.5), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,2.4,97.6,,3.3,97999.0,163,0.0,0.0,2.5,97.5,,3.2,98187.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,24.6,75.4,,3.2,98050.0,163,0.0,0.0,22.1,77.9,,3.1,98220.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,2.0,1.0,1,338,2.1,0.0,7.4,90.5,6.4,3.3,98010.0,163,1.2,0.0,7.4,91.4,3.1,3.2,98151.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,2.0,1.0,1,338,2.1,0.0,31.7,66.3,6.4,3.1,98132.0,163,1.2,0.0,32.5,66.3,3.1,3.0,98011.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,3.0,1.0,1,338,1.5,2.4,12.1,84.0,6.6,3.2,98221.0,163,0.6,3.7,11.7,84.0,4.7,3.2,98387.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,3.0,1.0,1,338,3.8,0.0,37.6,58.6,5.5,3.0,98300.0,163,4.9,0.0,36.8,58.3,4.7,2.9,98175.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,0.0,1.0,1,338,0.3,6.5,8.0,85.2,6.7,3.1,98159.0,163,0.0,3.7,7.4,89.0,,3.2,98396.0,1.5,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,18.0,14.0,3.0,0.3,asian,0.0,1.0,1,338,7.4,0.0,28.4,64.2,1.7,3.0,98393.0,163,4.3,0.0,26.4,69.3,1.7,3.0,98326.0,1.5,1.0,"(('rng_type', 'asian'), ('expire_hour', 14), ('exit_hour', 18), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,2.4,97.6,,3.6,99702.0,163,0.0,0.0,1.8,98.2,,3.5,99514.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
