sym,entry,seed,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,coin,1,ftmo_1step,7,2.8,fixed,IS,,390,12.3,4.6,7.2,53.3,22.6,4.7,4.9,8.93,-2.8,98636.0,60.5,1.2,3_coin
BTCUSD,coin,1,ftmo_1step,7,2.8,fixed,OOS,,395,15.9,7.1,0.3,57.0,19.7,4.5,4.9,9.1,-2.74,99106.0,57.3,1.2,3_coin
BTCUSD,coin,1,ftmo_1step,30,2.8,fixed,IS,,390,17.9,4.6,7.2,70.3,0.0,5.7,5.6,9.27,-2.8,98444.0,77.5,1.4,3_coin
BTCUSD,coin,1,ftmo_1step,30,2.8,fixed,OOS,,395,20.0,7.1,0.3,71.4,1.3,4.7,5.3,9.36,-2.74,98916.0,71.7,1.3,3_coin
BTCUSD,coin,1,fundingpips_1step,7,2.8,fixed,IS,,390,16.4,0.0,6.7,54.4,22.6,3.8,4.5,8.39,-2.8,98620.0,61.1,1.1,3_coin
BTCUSD,coin,1,fundingpips_1step,7,2.8,fixed,OOS,,395,23.3,0.0,0.3,55.2,21.3,3.7,4.5,8.48,-2.74,99355.0,55.5,1.0,3_coin
BTCUSD,coin,1,fundingpips_1step,30,2.8,fixed,IS,,390,23.8,0.0,6.7,69.5,0.0,4.9,5.6,9.28,-2.8,98166.0,76.2,1.3,3_coin
BTCUSD,coin,1,fundingpips_1step,30,2.8,fixed,OOS,,395,31.1,0.0,0.3,67.3,1.3,4.6,5.4,9.12,-2.74,99292.0,67.6,1.3,3_coin
BTCUSD,coin,1,e8_one_8,7,2.8,fixed,IS,,390,10.5,0.0,0.0,80.0,9.5,3.8,4.3,8.07,-2.85,98461.0,80.0,1.0,3_coin
BTCUSD,coin,1,e8_one_8,7,2.8,fixed,OOS,,395,14.7,0.0,0.0,75.9,9.4,3.8,4.2,7.97,-2.79,99281.0,75.9,1.2,3_coin
