sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,7,2.8,fixed,IS,,390,12.3,0.0,0.0,77.4,10.3,3.4,3.8,8.61,-2.75,99597.0,77.4,0.5,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,7,2.8,fixed,OOS,,395,9.9,0.0,0.0,74.9,15.2,3.6,4.2,8.27,-2.7,99419.0,74.9,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,14,2.8,fixed,IS,,390,13.3,0.0,0.0,86.7,0.0,3.6,4.0,8.74,-2.76,99639.0,86.7,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,14,2.8,fixed,OOS,,395,11.1,0.0,0.0,87.8,1.0,3.9,4.5,8.5,-2.72,99145.0,87.8,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,30,2.8,fixed,IS,,390,13.3,0.0,0.0,86.7,0.0,3.6,4.0,8.74,-2.76,99639.0,86.7,0.5,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,30,2.8,fixed,OOS,,395,11.1,0.0,0.0,88.1,0.8,3.9,4.5,8.5,-2.72,99141.0,88.1,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,60,2.8,fixed,IS,,390,13.3,0.0,0.0,86.7,0.0,3.6,4.0,8.74,-2.76,99639.0,86.7,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,60,2.8,fixed,OOS,,395,11.1,0.0,0.0,88.1,0.8,3.9,4.5,8.5,-2.72,99141.0,88.1,0.7,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.8,fixed,IS,,390,22.6,0.0,19.2,35.1,23.1,3.8,3.9,8.53,-2.73,100461.0,54.3,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.8,fixed,OOS,,395,16.2,0.0,10.4,41.8,31.6,3.4,4.5,8.99,-2.7,99760.0,52.2,0.6,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.8,fixed,IS,,390,30.3,0.0,20.8,42.3,6.7,4.8,4.8,9.18,-2.75,100831.0,63.1,0.7,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.8,fixed,OOS,,395,23.5,0.0,13.4,54.7,8.4,4.4,5.6,9.98,-2.75,99660.0,68.1,0.8,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,30,2.8,fixed,IS,,390,33.8,0.0,21.3,44.9,0.0,5.1,5.0,9.3,-2.75,101069.0,66.2,0.7,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,30,2.8,fixed,OOS,,395,26.6,0.0,14.2,58.0,1.3,5.1,5.8,10.22,-2.75,99716.0,72.2,0.8,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,60,2.8,fixed,IS,,390,33.8,0.0,21.3,44.9,0.0,5.1,5.0,9.3,-2.75,101069.0,66.2,0.7,3
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,60,2.8,fixed,OOS,,395,26.6,0.0,14.2,58.0,1.3,5.1,5.8,10.22,-2.75,99716.0,72.2,0.8,3
