sym,entry,tf,atr_stop,trail,friday,rule,max_days,target,min_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,don20,1h,1.0,1.0,True,ftmo_1step,30,0.05,0,2.8,fixed,IS,,390,2.6,38.7,17.9,40.8,0.0,5.5,4.0,8.47,-2.54,100249.0,58.7,0.8,3_funded
BTCUSD,don20,1h,1.0,1.0,True,ftmo_1step,30,0.05,0,2.8,fixed,OOS,,395,4.1,34.2,10.9,49.6,1.3,7.3,4.7,8.65,-2.46,99778.0,60.5,1.0,3_funded
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,30,0.05,0,2.8,fixed,IS,,390,44.4,0.0,14.9,40.8,0.0,2.9,3.7,8.06,-2.53,100676.0,55.7,0.8,3_funded
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,30,0.05,0,2.8,fixed,OOS,,395,39.2,0.0,10.1,49.4,1.3,2.9,4.3,8.61,-2.47,99999.0,59.5,0.9,3_funded
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,30,0.05,0,2.8,fixed,IS,,390,33.3,0.0,0.0,66.7,0.0,2.0,3.4,8.02,-2.51,99591.0,66.7,0.7,3_funded
BTCUSD,don20,1h,1.0,1.0,True,e8_one_8,30,0.05,0,2.8,fixed,OOS,,395,29.9,0.0,0.0,69.4,0.8,2.4,3.9,7.83,-2.43,99460.0,69.4,0.4,3_funded
BTCUSD,don20,1h,1.0,1.0,True,e8_one_14,30,0.05,0,2.8,fixed,IS,,390,58.7,0.0,0.0,41.0,0.3,4.1,6.2,10.9,-2.62,100612.0,41.0,1.0,3_funded
BTCUSD,don20,1h,1.0,1.0,True,e8_one_14,30,0.05,0,2.8,fixed,OOS,,395,51.9,0.0,0.0,46.8,1.3,4.4,7.1,11.41,-2.53,99847.0,46.8,1.1,3_funded
BTCUSD,don20,1h,1.0,1.0,True,the5ers_hyper,30,0.05,0,2.8,fixed,IS,,390,44.4,0.0,14.9,40.8,0.0,2.9,3.7,8.06,-2.53,100676.0,55.7,0.6,3_funded
BTCUSD,don20,1h,1.0,1.0,True,the5ers_hyper,30,0.05,0,2.8,fixed,OOS,,395,39.5,0.0,9.6,49.6,1.3,2.9,4.3,8.7,-2.47,100115.0,59.2,0.7,3_funded
