sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage,target,min_days,seed
XAUUSD,ema10_30,1h,1.0,1.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,3.1,0.0,4.5,4.0,88.4,3.7,2.4,4.32,-1.79,99587.0,8.5,0.6,1,,,
XAUUSD,ema10_30,1h,1.0,1.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,10.4,0.0,14.7,43.6,31.3,10.4,7.4,8.11,-2.33,98503.0,58.3,1.7,1,,,
XAUUSD,ema10_30,4h,1.0,1.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.7,0.0,0.2,0.0,99.1,5.7,0.7,1.58,-0.75,99913.0,0.2,0.5,1,,,
XAUUSD,ema10_30,4h,1.0,1.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,2.6,0.0,0.9,5.7,90.8,15.7,2.9,4.72,-1.75,99678.0,6.6,1.9,1,,,
XAUUSD,ema10_30,1h,2.0,2.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,2.1,0.0,5.5,0.7,91.7,3.0,2.4,3.62,-1.65,99981.0,6.2,1.1,1,,,
XAUUSD,ema10_30,1h,2.0,2.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,8.8,0.0,22.3,24.6,44.3,15.2,8.2,6.93,-2.37,99690.0,46.9,3.0,1,,,
XAUUSD,ema10_30,4h,2.0,2.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.5,0.0,0.5,0.0,99.1,2.2,0.7,1.29,-0.67,99956.0,0.5,0.6,1,,,
XAUUSD,ema10_30,4h,2.0,2.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,2.4,0.0,2.1,3.3,92.2,13.7,3.0,3.85,-1.63,99894.0,5.4,2.3,1,,,
XAUUSD,ema10_30,1h,4.0,4.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.5,0.0,3.6,0.0,96.0,3.9,2.5,2.79,-1.48,99979.0,3.6,0.9,1,,,
XAUUSD,ema10_30,1h,4.0,4.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,5.9,0.0,16.4,15.9,61.8,18.9,9.4,5.97,-2.35,99613.0,32.3,5.4,1,,,
XAUUSD,ema10_30,4h,4.0,4.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.0,0.0,0.2,0.0,99.8,,0.7,1.01,-0.58,99895.0,0.2,0.7,1,,,
XAUUSD,ema10_30,4h,4.0,4.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,0.0,0.0,1.2,1.2,97.6,,3.0,3.13,-1.48,99607.0,2.4,3.2,1,,,
XAUUSD,ema20_50,1h,1.0,1.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,1.4,0.0,1.4,1.2,96.0,5.7,1.6,3.12,-1.36,99859.0,2.6,0.6,1,,,
XAUUSD,ema20_50,1h,1.0,1.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,2.8,0.0,5.7,26.5,64.9,7.1,5.9,7.1,-2.15,98991.0,32.2,1.9,1,,,
XAUUSD,ema20_50,4h,1.0,1.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.5,0.0,0.0,0.0,99.5,3.7,0.4,0.99,-0.48,99889.0,0.0,0.5,1,,,
XAUUSD,ema20_50,4h,1.0,1.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,2.6,0.0,0.0,3.3,94.1,15.7,1.8,3.45,-1.36,99687.0,3.3,1.9,1,,,
XAUUSD,ema20_50,1h,2.0,2.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.7,0.0,2.1,0.0,97.2,2.6,1.6,2.57,-1.2,99938.0,2.1,0.7,1,,,
XAUUSD,ema20_50,1h,2.0,2.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,4.7,0.0,7.6,12.8,74.9,15.7,6.1,6.01,-2.07,99606.0,20.4,3.3,1,,,
XAUUSD,ema20_50,4h,2.0,2.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.0,0.0,0.2,0.0,99.8,,0.4,0.82,-0.44,99885.0,0.2,0.6,1,,,
XAUUSD,ema20_50,4h,2.0,2.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,0.2,0.0,1.2,3.1,95.5,18.2,1.8,2.86,-1.25,99546.0,4.3,2.2,1,,,
XAUUSD,ema50_200,1h,1.0,1.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.7,0.0,0.0,0.0,99.3,5.7,0.6,1.28,-0.6,100022.0,0.0,0.7,1,,,
XAUUSD,ema50_200,1h,1.0,1.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,4.3,0.0,0.0,6.2,89.6,17.2,2.4,4.15,-1.5,100200.0,6.2,2.5,1,,,
XAUUSD,ema20_50,1h,4.0,4.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.0,0.0,2.1,0.0,97.9,,1.6,2.04,-1.09,99953.0,2.1,1.1,1,,,
XAUUSD,ema20_50,1h,4.0,4.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,1.2,0.0,9.7,7.6,81.5,19.4,6.4,4.96,-2.06,99564.0,17.3,6.0,1,,,
XAUUSD,ema50_200,1h,2.0,2.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.7,0.0,0.5,0.0,98.8,5.8,0.6,1.03,-0.54,100014.0,0.5,0.6,1,,,
XAUUSD,ema50_200,1h,2.0,2.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,2.6,0.0,2.1,3.8,91.5,14.4,2.4,3.33,-1.38,100180.0,5.9,3.1,1,,,
XAUUSD,ema20_50,4h,4.0,4.0,True,fundingpips_1step,7,2.0,fixed,IS,400.0,422,0.0,0.0,0.0,0.0,100.0,,0.4,0.67,-0.4,99871.0,0.0,0.9,1,,,
XAUUSD,ema20_50,4h,4.0,4.0,True,fundingpips_1step,30,2.0,fixed,IS,400.0,422,0.0,0.0,0.0,1.7,98.3,,1.9,2.43,-1.19,99395.0,1.7,3.7,1,,,
