sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,0.5,fixed,IS,400,390,0.0,0.0,0.0,0.0,100.0,,5.7,2.04,-0.54,100014.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,0.5,fixed,IS,400,390,0.8,0.0,0.0,0.0,99.2,13.1,11.4,3.0,-0.57,100033.0,0.0,2.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,0.5,balance,IS,400,390,0.0,0.0,0.0,0.0,100.0,,5.7,2.04,-0.55,100015.0,0.0,1.1,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,0.5,balance,IS,400,390,0.8,0.0,0.0,0.0,99.2,13.1,11.4,3.0,-0.57,100039.0,0.0,2.4,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,fixed,IS,400,390,2.1,0.0,0.0,2.1,95.9,5.2,5.7,4.08,-1.09,100025.0,2.1,1.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,fixed,IS,400,390,5.6,0.0,0.0,17.7,76.7,8.6,10.7,5.72,-1.14,100022.0,17.7,2.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,balance,IS,400,390,2.3,0.0,0.0,1.3,96.4,5.7,5.7,4.08,-1.09,100031.0,1.3,1.4,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,balance,IS,400,390,6.2,0.0,0.0,17.2,76.7,8.6,10.7,5.73,-1.15,100051.0,17.2,2.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.0,ladder,IS,400,390,0.3,0.0,0.0,0.0,99.7,6.3,5.7,2.65,-0.88,100013.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,ladder,IS,400,390,2.6,0.0,0.0,0.0,97.4,8.7,11.3,3.96,-1.01,100006.0,0.0,2.2,2
