p_acierto lotes  USD/h  P(DD<=300)  DD_mediana  P(DD>1000)
0.50      0.02   0.002      0%        1367      79%
0.50      0.05  -0.009      0%        3505     100%
0.50      0.10  -0.013      0%        6961     100%
0.50      0.20  -0.010      0%       13507     100%
0.55      0.02   0.106      0%         769      21%
0.55      0.05   0.264      0%        1873      99%
0.55      0.10   0.557      0%        3734     100%
0.55      0.20   1.077      0%        7432     100%
0.60      0.02   0.218      1%         527       2%
0.60      0.05   0.549      0%        1255      81%
0.60      0.10   1.072      0%        2549     100%
0.60      0.20   2.172      0%        5171     100%
0.70      0.02   0.433     37%         323       0%
0.70      0.05   1.082      0%         804      24%
0.70      0.10   2.147      0%        1650      99%
0.70      0.20   4.333      0%        3261     100%
0.80      0.02   0.644     81%         226       0%
0.80      0.05   1.609      0%         572       2%
0.80      0.10   3.214      0%        1154      71%
0.80      0.20   6.455      0%        2297     100%
0.90      0.02   0.857     98%         165       0%
0.90      0.05   2.147     12%         412       0%
0.90      0.10   4.301      0%         834      23%
0.90      0.20   8.571      0%        1653      98%
