compress_k,sl_mult,tp_r,entry_end,exit_eod,vol_mult,net,usd_h,pf,dd,trades,wr,score
0.35,0.5,2.0,13,True,1.2,124.78,0.0095,1.505,53.34,70,47.1,1.505
0.35,1.0,2.0,13,True,1.2,95.8,0.0073,1.405,54.83,70,47.1,1.405
0.35,0.5,2.0,13,False,1.2,119.05,0.0091,1.344,84.03,68,42.6,1.344
0.7,1.0,2.0,13,False,1.2,290.14,0.0221,1.331,143.23,136,42.6,1.331
0.7,1.0,2.0,16,False,0.0,564.25,0.043,1.314,199.73,260,42.7,1.314
0.5,1.0,2.0,13,True,1.2,143.7,0.0109,1.311,64.86,124,46.8,1.311
0.7,1.0,2.0,16,False,1.2,455.45,0.0347,1.286,201.33,232,42.2,1.286
0.35,0.5,1.5,13,True,1.2,70.37,0.0054,1.286,53.34,70,50.0,1.286
0.7,1.0,2.0,13,False,0.0,378.97,0.0289,1.274,172.38,203,40.9,1.274
0.35,1.0,1.5,16,False,0.0,210.84,0.0161,1.254,87.37,174,46.6,1.254
0.5,1.0,2.0,13,False,1.2,162.35,0.0124,1.245,107.77,116,41.4,1.245
9.0,1.0,2.0,13,True,1.2,174.69,0.0133,1.243,147.23,175,45.7,1.243
9.0,1.0,2.0,13,False,1.2,248.27,0.0189,1.24,297.7,133,42.1,1.24
0.35,0.5,2.0,16,False,0.0,219.98,0.0168,1.235,102.52,175,40.6,1.235
0.35,0.5,2.0,16,False,1.2,178.43,0.0136,1.225,120.25,148,41.2,1.225
0.35,1.0,2.0,13,False,1.2,79.51,0.0061,1.224,82.54,67,41.8,1.224
9.0,1.0,2.0,16,False,0.0,408.42,0.0311,1.214,226.49,236,42.8,1.214
0.35,1.0,1.5,16,False,1.2,148.93,0.0113,1.211,77.45,146,47.3,1.211
0.35,1.0,2.0,16,False,1.2,160.38,0.0122,1.2,120.04,145,41.4,1.2
9.0,1.0,2.0,16,False,1.2,334.23,0.0255,1.193,178.89,208,42.3,1.193
0.35,1.0,1.5,13,True,1.2,45.18,0.0034,1.191,54.83,70,47.1,1.191
0.7,1.0,1.5,16,False,1.2,299.71,0.0228,1.18,154.83,266,47.0,1.18
0.7,1.0,2.0,13,True,1.2,112.67,0.0086,1.177,123.37,153,45.1,1.177
0.7,0.5,2.0,13,True,1.2,117.89,0.009,1.176,86.79,153,43.1,1.176
0.5,1.0,1.5,16,False,0.0,252.01,0.0192,1.176,102.63,266,46.2,1.176
0.5,1.0,2.0,16,False,0.0,269.59,0.0205,1.172,127.02,256,39.8,1.172
0.35,1.0,1.5,16,True,0.0,117.16,0.0089,1.172,72.61,188,43.6,1.172
0.35,1.0,2.0,16,True,1.2,99.17,0.0076,1.17,82.61,157,43.3,1.17
0.5,1.0,2.0,13,False,0.0,185.26,0.0141,1.166,181.98,185,38.9,1.166
0.7,1.0,1.5,16,False,0.0,313.71,0.0239,1.166,153.8,295,46.4,1.166
0.5,0.5,2.0,13,True,1.2,88.16,0.0067,1.164,80.65,124,43.5,1.164
0.35,0.5,2.0,13,False,0.0,106.18,0.0081,1.163,162.72,121,38.8,1.163
0.7,0.5,2.0,13,False,1.2,131.71,0.01,1.16,124.61,151,40.4,1.16
0.5,1.0,2.0,16,False,1.2,217.39,0.0166,1.159,142.49,224,40.2,1.159
0.5,0.5,2.0,13,False,1.2,102.73,0.0078,1.155,109.7,122,40.2,1.155
0.35,0.5,2.0,16,True,0.0,114.06,0.0087,1.151,92.69,188,41.5,1.151
0.7,0.5,2.0,16,False,0.0,289.4,0.022,1.145,115.81,363,39.4,1.145
0.35,0.5,2.0,16,True,1.2,88.3,0.0067,1.142,95.12,157,41.4,1.142
0.5,1.0,2.0,16,True,1.2,143.16,0.0109,1.139,142.36,264,43.9,1.139
0.35,1.0,2.0,16,False,0.0,127.85,0.0097,1.133,92.69,170,38.8,1.133
0.7,0.5,2.0,16,True,0.0,214.13,0.0163,1.125,137.33,393,41.7,1.125
9.0,0.5,2.0,16,False,1.2,251.45,0.0192,1.125,187.49,348,39.4,1.125
9.0,0.5,2.0,13,True,1.2,92.65,0.0071,1.119,98.99,175,42.9,1.119
0.35,0.5,3.0,13,False,1.2,48.97,0.0037,1.119,75.44,65,29.2,1.119
0.5,1.0,1.5,13,True,1.2,54.76,0.0042,1.119,69.53,124,46.8,1.119
9.0,1.0,1.5,13,True,1.2,82.53,0.0063,1.115,156.75,175,45.7,1.115
9.0,0.5,3.0,13,False,1.2,119.66,0.0091,1.109,193.79,164,29.9,1.109
0.5,1.0,2.0,16,True,0.0,137.5,0.0105,1.109,183.76,310,42.9,1.109
0.35,1.0,2.0,16,True,0.0,78.59,0.006,1.109,89.67,188,41.0,1.109
0.7,0.5,2.0,16,False,1.2,189.9,0.0145,1.109,162.51,313,39.3,1.109
0.5,1.0,1.5,16,False,1.2,136.01,0.0104,1.107,141.23,234,45.7,1.107
9.0,0.5,2.0,16,False,0.0,250.09,0.0191,1.107,143.26,400,38.8,1.107
9.0,0.5,2.0,13,False,1.2,104.75,0.008,1.106,212.42,170,39.4,1.106
0.7,0.5,2.0,13,False,0.0,143.4,0.0109,1.103,203.88,248,38.3,1.103
0.5,0.5,2.0,16,False,0.0,158.01,0.012,1.099,129.31,289,38.4,1.099
9.0,1.0,1.5,16,False,0.0,207.6,0.0158,1.097,222.92,285,44.6,1.097
9.0,1.0,3.0,13,True,1.2,71.56,0.0055,1.096,160.41,175,42.9,1.096
0.5,1.0,3.0,13,True,1.2,46.01,0.0035,1.095,76.07,124,42.7,1.095
9.0,1.0,2.0,16,True,1.2,154.7,0.0118,1.095,240.43,379,44.3,1.095
0.5,1.0,1.5,16,True,0.0,113.0,0.0086,1.093,132.06,310,44.8,1.093
0.7,1.0,2.0,16,True,1.2,129.86,0.0099,1.091,222.92,338,44.1,1.091
0.35,0.5,3.0,16,False,0.0,93.29,0.0071,1.09,121.2,162,29.0,1.09
0.7,1.0,1.5,13,False,0.0,118.99,0.0091,1.086,211.86,218,43.6,1.086
0.7,1.0,1.5,13,False,1.2,73.18,0.0056,1.086,165.23,139,43.9,1.086
0.35,0.5,2.0,13,True,0.0,44.77,0.0034,1.084,129.3,128,39.8,1.084
0.5,1.0,3.0,16,False,0.0,123.28,0.0094,1.082,176.26,210,28.1,1.082
0.7,0.5,3.0,16,False,0.0,167.44,0.0128,1.08,246.22,327,30.0,1.08
0.7,0.5,2.0,13,True,0.0,91.31,0.007,1.077,167.9,257,40.1,1.077
0.5,1.0,3.0,13,False,1.2,56.9,0.0043,1.077,178.38,108,27.8,1.077
0.5,0.5,3.0,16,False,0.0,128.45,0.0098,1.076,146.45,264,29.2,1.076
0.5,1.0,3.0,16,False,1.2,109.0,0.0083,1.076,201.61,198,28.3,1.076
0.35,1.0,1.5,13,False,0.0,44.59,0.0034,1.075,173.2,119,43.7,1.075
9.0,0.5,2.0,16,True,0.0,145.58,0.0111,1.073,171.75,439,41.0,1.073
0.7,1.0,1.5,16,True,0.0,120.15,0.0092,1.072,228.38,393,45.3,1.072
0.35,0.5,1.5,13,False,1.2,24.54,0.0019,1.072,92.08,69,44.9,1.072
0.35,0.5,3.0,13,False,0.0,52.53,0.004,1.07,131.18,117,28.2,1.07
0.35,1.0,1.5,16,True,1.2,39.51,0.003,1.068,87.15,157,43.9,1.068
0.35,0.5,1.5,16,True,0.0,50.28,0.0038,1.068,78.62,188,44.1,1.068
9.0,1.0,1.5,16,True,0.0,126.66,0.0096,1.067,241.8,439,45.3,1.067
0.5,0.5,2.0,16,False,1.2,91.2,0.0069,1.066,131.88,247,38.5,1.066
9.0,1.0,1.5,16,False,1.2,127.28,0.0097,1.063,202.47,270,44.8,1.063
0.5,0.5,2.0,13,False,0.0,68.17,0.0052,1.06,167.56,201,37.3,1.06
9.0,0.5,1.5,13,True,1.2,44.2,0.0034,1.06,109.85,175,47.4,1.06
0.35,1.0,2.0,13,False,0.0,37.74,0.0029,1.058,198.05,114,37.7,1.058
0.5,0.5,2.0,16,True,0.0,76.36,0.0058,1.056,139.2,310,40.6,1.056
9.0,1.0,2.0,16,True,0.0,105.4,0.008,1.054,273.37,439,43.7,1.054
0.7,1.0,2.0,16,True,0.0,90.49,0.0069,1.052,283.08,393,43.5,1.052
0.7,0.5,3.0,13,False,1.2,45.13,0.0034,1.048,134.68,145,29.0,1.048
9.0,0.5,3.0,16,False,1.2,142.61,0.0109,1.066,305.65,318,28.9,1.0463
0.35,1.0,1.5,13,True,0.0,22.45,0.0017,1.046,111.64,128,41.4,1.046
0.7,0.5,2.0,16,True,1.2,67.85,0.0052,1.045,141.59,338,40.8,1.045
0.7,1.0,1.5,13,True,1.2,28.92,0.0022,1.045,123.37,153,45.1,1.045
0.7,0.5,3.0,13,False,0.0,63.17,0.0048,1.042,202.58,231,29.0,1.042
0.5,1.0,1.5,13,False,0.0,42.46,0.0032,1.04,144.53,192,42.7,1.04
0.7,0.5,1.5,13,True,1.2,25.32,0.0019,1.039,89.96,153,47.1,1.039
0.35,0.5,1.5,16,False,1.2,29.61,0.0023,1.039,96.28,152,44.1,1.039
9.0,0.5,2.0,16,True,1.2,66.26,0.005,1.039,125.97,379,40.6,1.039
0.35,1.0,3.0,13,True,1.2,9.83,0.0007,1.038,70.04,70,40.0,1.038
0.7,1.0,3.0,13,True,1.2,24.21,0.0018,1.037,138.71,153,41.8,1.037
0.5,0.5,1.5,13,True,1.2,18.61,0.0014,1.036,83.82,124,47.6,1.036
0.5,1.0,3.0,13,False,0.0,39.92,0.003,1.035,212.81,161,26.7,1.035
9.0,1.0,1.5,16,True,1.2,52.55,0.004,1.033,189.44,379,44.9,1.033
0.5,0.5,3.0,13,True,1.2,18.85,0.0014,1.033,85.84,124,38.7,1.033
0.7,0.5,3.0,16,True,0.0,60.27,0.0046,1.033,173.28,393,38.7,1.033
0.35,0.5,3.0,13,True,1.2,8.44,0.0006,1.03,66.25,70,38.6,1.03
0.35,0.5,1.5,16,False,0.0,25.68,0.002,1.028,127.64,180,43.3,1.028
0.5,0.5,3.0,13,False,0.0,34.05,0.0026,1.028,166.29,190,27.9,1.028
0.5,1.0,2.0,13,True,0.0,24.32,0.0019,1.027,200.95,209,41.6,1.027
0.5,1.0,1.5,16,True,1.2,25.68,0.002,1.025,115.65,264,44.7,1.025
0.7,1.0,1.5,16,True,1.2,36.12,0.0028,1.025,179.07,338,44.7,1.025
0.5,1.0,3.0,16,True,1.2,26.14,0.002,1.025,153.66,264,42.0,1.025
0.5,1.0,1.5,13,True,0.0,20.81,0.0016,1.024,150.22,209,43.5,1.024
9.0,1.0,1.5,13,True,0.0,27.76,0.0021,1.021,281.88,285,43.9,1.021
0.35,0.5,3.0,16,False,1.2,18.73,0.0014,1.02,210.17,139,28.8,1.02
0.35,0.5,3.0,16,True,1.2,11.62,0.0009,1.018,124.11,157,37.6,1.018
9.0,1.0,3.0,16,True,1.2,28.43,0.0022,1.017,251.35,379,43.0,1.017
0.7,0.5,1.5,16,True,0.0,27.89,0.0021,1.017,157.36,393,44.0,1.017
0.5,0.5,2.0,13,True,0.0,15.94,0.0012,1.016,145.91,209,39.2,1.016
0.7,0.5,3.0,16,True,1.2,20.44,0.0016,1.013,222.03,338,37.9,1.013
0.7,0.5,3.0,16,False,1.2,25.41,0.0019,1.013,242.94,291,28.5,1.013
0.7,1.0,3.0,16,True,1.2,18.26,0.0014,1.013,234.23,338,42.6,1.013
