bb_dev,rsi_low,atr_mult,max_bars,confirm,session_filter,net,usd_h,dd,pf,trades,wr,avg,sharpe,pf_num
2.0,20,1.5,8,0,0,-44.92,-0.0034,97.86,0.845,70,38.6,-0.64,-0.46,0.845
2.0,20,1.5,8,0,1,-44.76,-0.0034,73.57,0.777,45,40.0,-0.99,-0.56,0.777
2.0,20,1.5,8,1,0,-69.41,-0.0053,107.36,0.631,40,40.0,-1.74,-0.97,0.631
2.0,20,1.5,8,1,1,-26.67,-0.002,57.47,0.789,26,42.3,-1.03,-0.39,0.789
2.0,20,1.5,32,0,0,-2.78,-0.0002,110.93,0.992,70,42.9,-0.04,0.01,0.992
2.0,20,1.5,32,0,1,-46.19,-0.0035,84.65,0.809,45,40.0,-1.03,-0.5,0.809
2.0,20,1.5,32,1,0,-98.36,-0.0075,125.49,0.56,40,37.5,-2.46,-1.26,0.56
2.0,20,1.5,32,1,1,-52.0,-0.004,73.44,0.653,26,38.5,-2.0,-0.73,0.653
2.0,20,2.5,8,0,0,-10.44,-0.0008,72.61,0.951,57,47.4,-0.18,-0.11,0.951
2.0,20,2.5,8,0,1,-21.69,-0.0017,60.71,0.851,36,47.2,-0.6,-0.34,0.851
2.0,20,2.5,8,1,0,-55.64,-0.0042,96.38,0.624,39,43.6,-1.43,-0.97,0.624
2.0,20,2.5,8,1,1,-10.56,-0.0008,49.71,0.879,26,50.0,-0.41,-0.2,0.879
2.0,20,2.5,32,0,0,8.03,0.0006,72.79,1.032,57,54.4,0.14,0.12,1.032
2.0,20,2.5,32,0,1,-19.47,-0.0015,63.13,0.885,36,50.0,-0.54,-0.26,0.885
2.0,20,2.5,32,1,0,-102.53,-0.0078,136.61,0.487,39,46.2,-2.63,-1.39,0.487
2.0,20,2.5,32,1,1,-49.13,-0.0037,76.06,0.601,26,46.2,-1.89,-0.82,0.601
2.0,25,1.5,8,0,0,-166.81,-0.0127,208.57,0.807,207,39.1,-0.81,-0.97,0.807
2.0,25,1.5,8,0,1,-83.04,-0.0063,139.26,0.862,143,41.3,-0.58,-0.52,0.862
2.0,25,1.5,8,1,0,-202.59,-0.0154,250.41,0.646,134,44.0,-1.51,-1.79,0.646
2.0,25,1.5,8,1,1,-95.14,-0.0072,133.74,0.749,90,46.7,-1.06,-0.96,0.749
2.0,25,1.5,32,0,0,-216.93,-0.0165,269.53,0.79,207,37.2,-1.05,-1.21,0.79
2.0,25,1.5,32,0,1,-159.25,-0.0121,226.31,0.787,143,37.1,-1.11,-0.96,0.787
2.0,25,1.5,32,1,0,-266.45,-0.0203,307.94,0.603,134,41.0,-1.99,-2.12,0.603
2.0,25,1.5,32,1,1,-152.03,-0.0116,192.84,0.667,90,42.2,-1.69,-1.4,0.667
2.0,25,2.5,8,0,0,-71.22,-0.0054,126.82,0.896,174,47.1,-0.41,-0.47,0.896
2.0,25,2.5,8,0,1,-16.69,-0.0013,112.58,0.965,122,50.0,-0.14,-0.09,0.965
2.0,25,2.5,8,1,0,-213.59,-0.0163,259.78,0.573,131,48.1,-1.63,-2.03,0.573
2.0,25,2.5,8,1,1,-102.84,-0.0078,143.05,0.678,88,52.3,-1.17,-1.15,0.678
2.0,25,2.5,32,0,0,-145.76,-0.0111,182.15,0.834,174,50.0,-0.84,-0.83,0.834
2.0,25,2.5,32,0,1,-110.35,-0.0084,179.58,0.826,122,50.0,-0.9,-0.73,0.826
2.0,25,2.5,32,1,0,-308.5,-0.0235,348.78,0.507,131,50.4,-2.35,-2.47,0.507
2.0,25,2.5,32,1,1,-195.64,-0.0149,230.33,0.54,88,50.0,-2.22,-1.89,0.54
2.0,30,1.5,8,0,0,-352.98,-0.0269,427.13,0.778,481,41.0,-0.73,-1.58,0.778
2.0,30,1.5,8,0,1,-362.91,-0.0276,444.97,0.719,328,39.3,-1.11,-1.61,0.719
2.0,30,1.5,8,1,0,-308.22,-0.0235,336.14,0.733,329,48.6,-0.94,-1.94,0.733
2.0,30,1.5,8,1,1,-185.77,-0.0142,211.33,0.772,225,49.8,-0.83,-1.33,0.772
2.0,30,1.5,32,0,0,-405.46,-0.0309,466.7,0.783,480,40.4,-0.84,-1.68,0.783
2.0,30,1.5,32,0,1,-367.81,-0.028,443.05,0.748,328,39.0,-1.12,-1.53,0.748
2.0,30,1.5,32,1,0,-388.71,-0.0296,406.31,0.695,329,48.0,-1.18,-2.19,0.695
2.0,30,1.5,32,1,1,-235.29,-0.0179,248.44,0.743,225,49.8,-1.05,-1.52,0.743
2.0,30,2.5,8,0,0,-276.48,-0.0211,429.41,0.809,395,49.9,-0.7,-1.21,0.809
2.0,30,2.5,8,0,1,-245.22,-0.0187,371.96,0.77,266,48.9,-0.92,-1.22,0.77
2.0,30,2.5,8,1,0,-373.07,-0.0284,401.58,0.636,319,53.0,-1.17,-2.37,0.636
2.0,30,2.5,8,1,1,-257.15,-0.0196,279.82,0.657,217,55.3,-1.19,-1.82,0.657
2.0,30,2.5,32,0,0,-355.95,-0.0271,476.35,0.792,394,52.0,-0.9,-1.42,0.792
2.0,30,2.5,32,0,1,-311.98,-0.0238,426.62,0.751,266,51.9,-1.17,-1.43,0.751
2.0,30,2.5,32,1,0,-462.08,-0.0352,476.82,0.602,313,56.5,-1.48,-2.54,0.602
2.0,30,2.5,32,1,1,-354.14,-0.027,371.7,0.598,216,55.6,-1.64,-2.22,0.598
2.5,20,1.5,8,0,0,8.15,0.0006,84.98,1.041,51,39.2,0.16,0.13,1.041
2.5,20,1.5,8,0,1,-8.94,-0.0007,56.57,0.93,31,41.9,-0.29,-0.12,0.93
2.5,20,1.5,8,1,0,-55.45,-0.0042,84.56,0.71,42,38.1,-1.32,-0.77,0.71
2.5,20,1.5,8,1,1,-24.1,-0.0018,49.75,0.812,26,38.5,-0.93,-0.37,0.812
2.5,20,1.5,32,0,0,36.28,0.0028,111.41,1.16,51,43.1,0.71,0.42,1.16
2.5,20,1.5,32,0,1,-27.94,-0.0021,69.36,0.828,31,38.7,-0.9,-0.34,0.828
2.5,20,1.5,32,1,0,-61.1,-0.0047,101.06,0.722,42,40.5,-1.45,-0.74,0.722
2.5,20,1.5,32,1,1,-23.39,-0.0018,53.36,0.836,26,38.5,-0.9,-0.33,0.836
2.5,20,2.5,8,0,0,17.03,0.0013,59.47,1.108,43,46.5,0.4,0.27,1.108
