ema_len,dc_len,sl_mult,trail_mult,adx_min,allow_short,net,usd_h,dd,trades,pf,wr,breached
100,20,2.0,2.0,0.0,0,371.6,0.0283,301.14,226,1.266,36.3,True
100,20,2.0,2.0,0.0,1,265.46,0.0202,303.91,377,1.12,37.4,True
100,20,2.0,2.0,20.0,0,205.43,0.0156,298.04,213,1.153,34.7,False
100,20,2.0,2.0,20.0,1,-37.47,-0.0029,302.12,363,0.983,35.0,True
100,20,2.0,2.0,25.0,0,264.28,0.0201,211.76,178,1.237,36.5,False
100,20,2.0,2.0,25.0,1,23.83,0.0018,296.96,318,1.012,34.3,False
100,20,2.0,3.0,0.0,0,668.18,0.0509,302.51,186,1.476,32.3,True
100,20,2.0,3.0,0.0,1,604.97,0.0461,302.1,324,1.248,30.2,True
100,20,2.0,3.0,20.0,0,351.52,0.0268,301.48,177,1.262,32.2,True
100,20,2.0,3.0,20.0,1,106.96,0.0081,304.17,160,1.087,25.0,True
100,20,2.0,3.0,25.0,0,222.0,0.0169,235.89,159,1.191,32.7,False
100,20,2.0,3.0,25.0,1,-31.02,-0.0024,300.84,141,0.971,25.5,True
100,20,2.0,4.0,0.0,0,756.55,0.0576,300.64,162,1.532,27.8,True
100,20,2.0,4.0,0.0,1,329.49,0.0251,302.76,149,1.252,23.5,True
100,20,2.0,4.0,20.0,0,451.53,0.0344,301.4,157,1.327,27.4,True
100,20,2.0,4.0,20.0,1,196.07,0.0149,300.91,104,1.195,20.2,True
100,20,2.0,4.0,25.0,0,481.65,0.0367,258.18,141,1.401,27.7,False
100,20,2.0,4.0,25.0,1,198.38,0.0151,302.63,95,1.219,20.0,True
100,20,3.0,2.0,0.0,0,92.2,0.007,269.66,223,1.079,37.7,False
100,20,3.0,2.0,0.0,1,-113.23,-0.0086,302.35,370,0.941,38.4,True
100,20,3.0,2.0,20.0,0,55.88,0.0043,282.28,207,1.05,36.2,False
100,20,3.0,2.0,20.0,1,-148.05,-0.0113,305.59,343,0.918,36.4,True
100,20,3.0,2.0,25.0,0,80.1,0.0061,210.76,174,1.086,37.4,False
100,20,3.0,2.0,25.0,1,-127.58,-0.0097,308.16,256,0.906,34.0,True
100,20,3.0,3.0,0.0,0,467.39,0.0356,274.83,173,1.406,37.0,False
100,20,3.0,3.0,0.0,1,526.41,0.0401,271.13,308,1.255,34.7,False
100,20,3.0,3.0,20.0,0,342.46,0.0261,265.81,161,1.323,38.5,False
100,20,3.0,3.0,20.0,1,381.31,0.029,271.19,289,1.194,34.9,False
