ema_len,dc_len,sl_mult,trail_mult,adx_min,allow_short,is_net,is_pf,oos_net,oos_pf,oos_dd,oos_trades
100,20,2.0,2.0,0.0,0,371.6,1.266,-265.58,0.651,300.81,131
100,20,2.0,2.0,0.0,1,265.46,1.12,-229.17,0.727,300.57,138
100,20,2.0,2.0,20.0,0,205.43,1.153,-255.99,0.651,302.8,123
100,20,2.0,2.0,20.0,1,-37.47,0.983,-211.87,0.76,302.37,147
100,20,2.0,2.0,25.0,0,264.28,1.237,-225.89,0.6,300.71,96
100,20,2.0,2.0,25.0,1,23.83,1.012,-158.25,0.77,301.77,119
100,20,2.0,3.0,0.0,0,668.18,1.476,-258.6,0.677,301.0,107
100,20,2.0,3.0,0.0,1,604.97,1.248,-297.49,0.443,303.44,59
100,20,2.0,3.0,20.0,0,351.52,1.262,-247.27,0.678,300.16,101
100,20,2.0,3.0,20.0,1,106.96,1.087,-295.08,0.445,300.05,61
100,20,2.0,3.0,25.0,0,222.0,1.191,-246.06,0.622,300.1,86
100,20,2.0,3.0,25.0,1,-31.02,0.971,-243.64,0.558,302.62,76
100,20,2.0,4.0,0.0,0,756.55,1.532,-262.97,0.682,302.97,95
100,20,2.0,4.0,0.0,1,329.49,1.252,-294.4,0.502,303.23,61
100,20,2.0,4.0,20.0,0,451.53,1.327,-249.47,0.688,301.94,91
100,20,2.0,4.0,20.0,1,196.07,1.195,-294.55,0.61,303.71,87
100,20,2.0,4.0,25.0,0,481.65,1.401,-248.94,0.701,302.83,104
100,20,2.0,4.0,25.0,1,198.38,1.219,-196.96,0.673,300.4,73
100,20,3.0,2.0,0.0,0,92.2,1.079,-298.14,0.64,307.6,145
100,20,3.0,2.0,0.0,1,-113.23,0.941,-295.59,0.643,300.27,134
100,20,3.0,2.0,20.0,0,55.88,1.05,-275.58,0.701,300.79,176
100,20,3.0,2.0,20.0,1,-148.05,0.918,-296.2,0.667,301.03,153
100,20,3.0,2.0,25.0,0,80.1,1.086,-235.05,0.65,301.85,117
100,20,3.0,2.0,25.0,1,-127.58,0.906,-229.69,0.793,300.31,197
100,20,3.0,3.0,0.0,0,467.39,1.406,16.05,1.015,267.94,167
100,20,3.0,3.0,0.0,1,526.41,1.255,-296.67,0.444,301.64,58
100,20,3.0,3.0,20.0,0,342.46,1.323,-252.0,0.739,301.14,134
100,20,3.0,3.0,20.0,1,381.31,1.194,-297.55,0.443,303.57,57
100,20,3.0,3.0,25.0,0,113.54,1.116,-33.33,0.963,296.64,135
100,20,3.0,3.0,25.0,1,101.62,1.058,-295.87,0.604,311.36,99
100,20,3.0,4.0,0.0,0,591.74,1.5,-186.27,0.82,300.9,118
100,20,3.0,4.0,0.0,1,347.57,1.168,-270.45,0.527,300.58,50
100,20,3.0,4.0,20.0,0,631.74,1.586,-178.17,0.818,303.0,112
100,20,3.0,4.0,20.0,1,515.44,1.262,-273.57,0.649,301.68,76
100,20,3.0,4.0,25.0,0,577.47,1.581,-182.44,0.793,301.63,98
100,20,3.0,4.0,25.0,1,289.97,1.334,-73.9,0.954,300.86,189
100,55,2.0,2.0,0.0,0,142.21,1.155,-283.34,0.627,300.37,141
100,55,2.0,2.0,0.0,1,94.7,1.061,251.42,1.177,232.13,270
100,55,2.0,2.0,20.0,0,142.15,1.163,-272.44,0.633,305.73,138
100,55,2.0,2.0,20.0,1,-114.04,0.925,213.52,1.156,242.65,258
100,55,2.0,2.0,25.0,0,195.28,1.276,-238.72,0.585,302.41,105
100,55,2.0,2.0,25.0,1,-24.04,0.982,111.52,1.092,245.54,223
100,55,2.0,3.0,0.0,0,233.85,1.25,-282.28,0.598,300.08,97
100,55,2.0,3.0,0.0,1,426.35,1.269,-222.61,0.58,300.36,70
100,55,2.0,3.0,20.0,0,176.3,1.193,-281.94,0.613,306.52,104
100,55,2.0,3.0,20.0,1,100.2,1.066,-218.89,0.61,300.79,77
